gl,gnome-utils/po,684,7,2
gl,gnome-vfs/po,115,,
gl,gnomeicu/po,573,2,5
gl,gnorpm/po,277,,
gl,gnumeric/po,825,42,1217
gl,gphoto/po,,,
gl,gtk+/po,113,1,2
gl,gnome-i18n/extra-po/gtm,,,
gl,gtop/po,253,,
gl,gtranslator/po,,,
gl,guppi3/po,,,
gl,gxsnmp/po,263,,
gl,gnome-i18n/extra-po/helix-gdm2,,,
gl,helix-install/src/rpm-3.0.3/po,,,
gl,libgtop/po,243,15,22
gl,magicdev/po,11,,
gl,mc/po,,,
gl,memprof/po,,,
gl,nautilus/po,277,11,18
gl,pan/po,,,
gl,rp3/po,,,
gl,sodipodi/po,,,
gl,gnome-i18n/extra-po/sawfish,390,36,11
gl,gnome-i18n/extra-po/xchat,,,
hr,achtung/po,,,
hr,balsa/po,,,
hr,bonobo/po,,,
hr,bug-buddy/po,,,
hr,control-center/po,181,3,123
hr,dia/po,,,
hr,dr-genius/po,,,
hr,eog/po,,,
hr,evolution/po,,,
hr,gconf/po,,,
hr,gdm2/po,,,
hr,gnome-i18n/extra-po/gdm2beta5,,,
hr,gedit/po,,,
hr,gfloppy/po,,,
hr,ggv/po,,,
hr,ghex/po,,,
hr,gimp/po,,,
hr,gimp/po-libgimp,,,
hr,gimp/po-script-fu,,,
hr,gimp/po-plug-ins,,,
hr,gimp-freetype/po,,,
hr,glade/po,,,
hr,gnome-i18n/extra-po/gnapster,,,
hr,gnome-applets/po,,,
hr,gnome-chess/po,,,
hr,gnome-core/po,,,
hr,gnome-db/po,,,
hr,gnome-games/po,,,
hr,gnome-libs/po,340,20,17
hr,gnome-lokkit/po,,,
hr,gnome-media/po,,,
hr,gnome-pilot/po,,,
hr,gnome-pim/po,,,
hr,gnome-print/po,31,7,38
hr,gnome-utils/po,,,
hr,gnome-vfs/po,,,
hr,gnomeicu/po,,,
hr,gnorpm/po,,,
hr,gnumeric/po,206,471,1407
hr,gphoto/po,,,
hr,gtk+/po,109,1,6
hr,gnome-i18n/extra-po/gtm,,,
hr,gtop/po,,,
hr,gtranslator/po,,,
hr,guppi3/po,,,
hr,gxsnmp/po,,,
hr,gnome-i18n/extra-po/helix-gdm2,,,
hr,helix-install/src/rpm-3.0.3/po,,,
hr,libgtop/po,,,
hr,magicdev/po,,,
hr,mc/po,,,
hr,memprof/po,,,
hr,nautilus/po,,,
hr,pan/po,,,
hr,rp3/po,,,
hr,sodipodi/po,,,
hr,gnome-i18n/extra-po/sawfish,,,
hr,gnome-i18n/extra-po/xchat,,,
hu,achtung/po,,,
hu,balsa/po,80,1,292
hu,bonobo/po,,,
